Player_Names,Matches_Played,Substitution ,Minutes_Played,Goals,Expected_Goals,xG_Per_Match_Avg,Shots,Shots_On_Target,Shots_Per_Match_Avg,Shots_On_Target_Per_Match_Avg,Year,club_id
Kacper Przybylko,25,1,2420,15,12.23,0.48,81,37,3.18,1.45,2019,102
Kei Kamara,29,0,2740,14,17.59,0.61,94,44,3.26,1.53,2019,103
C.J. Sapong,29,3,2734,13,11.22,0.39,63,25,2.19,0.87,2019,104
Gyasi Zardes,28,0,2657,13,15.1,0.54,62,26,2.22,0.93,2019,105
Heber ,18,5,1742,15,11.37,0.62,56,26,3.05,1.42,2019,100
Mauro Manotas,28,4,2717,13,14.01,0.49,92,29,3.22,1.01,2019,106
Brian Fernandez,16,3,1555,11,8.18,0.5,69,30,4.22,1.83,2019,107
Alejandro Pozuelo,32,2,3104,14,9.8,0.3,84,38,2.57,1.16,2019,108
Felipe Gutierrez,31,1,2905,12,9.48,0.31,65,28,2.13,0.92,2019,109
Jordan Morris,28,2,2521,13,9.55,0.36,48,24,1.81,0.9,2019,110
Raul Ruidiaz,24,2,2346,15,15.31,0.62,96,37,3.89,1.5,2019,110
Jozy Altidore,18,5,1834,12,8.69,0.45,51,25,2.64,1.29,2019,108
Carlos Vela,33,0,3128,36,25.35,0.77,167,75,5.07,2.28,2019,96
Nemanja Nikolic,25,6,2118,12,14.05,0.63,48,22,2.15,0.99,2019,119
Alexandru Mitrita,25,5,2398,12,7.07,0.28,96,34,3.8,1.35,2019,100
Luis Suarez,22,6,2126,16,14.32,0.64,79,42,3.53,1.88,2019,3
Karim Benzema,36,1,3207,21,21.61,0.64,124,59,3.67,1.75,2019,4
Joselu,31,5,2990,11,13.22,0.42,87,30,2.76,0.95,2019,17
Carlos Fernandez,21,13,2428,10,10.48,0.41,47,19,1.84,0.74,2019,19
Ante Budimir,33,2,2923,13,12.31,0.4,56,22,1.82,0.72,2019,11
Mikel Oyarzabal,36,1,3247,10,8.89,0.26,62,22,1.81,0.64,2019,19
Willian Jose,24,13,2171,11,13.03,0.57,59,19,2.58,0.83,2019,20
Gerard Moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019,18
Lucas Perez,29,5,2673,11,11.25,0.4,48,18,1.71,0.64,2019,17
Loren Moron,21,15,2222,10,9.12,0.39,52,18,2.22,0.77,2019,1
Raul Garcla,33,2,3034,15,12.77,0.4,81,33,2.54,1.03,2019,20
Morata ,25,9,2248,12,17.27,0.73,69,30,2.92,1.27,2019,3
Angel Rodriguez,9,23,1611,10,8.14,0.48,53,23,3.13,1.36,2019,13
Lionel Messi,32,1,3067,25,21.63,0.67,159,68,4.93,2.11,2019,2
Sergio Ramos,35,0,3100,11,11.09,0.34,39,17,1.2,0.52,2019,4
Lucas Ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019,19
Santi Cazorla ,29,6,2513,11,8.73,0.33,49,24,1.85,0.91,2019,19
Roger ,26,10,2436,11,11.54,0.45,57,24,2.22,0.94,2019,14
Jaime Mata,33,1,2923,11,12,0.39,58,23,1.89,0.75,2019,13
Iago Aspas,37,0,3474,14,15.72,0.43,84,39,2.3,1.07,2019,5
Pote ,7,0,631,9,2.99,0.45,21,13,3.16,1.96,2019,136
Tiquinho Soares,20,10,1867,10,9.43,0.48,55,21,2.8,1.07,2019,133
Eduardo Mancha,4,0,396,2,0.96,0.23,5,2,1.2,0.48,2019,130
Paulinho ,27,2,2451,17,14.96,0.58,89,38,3.45,1.47,2019,122
Alex Telles,28,3,2732,11,8.05,0.28,39,17,1.36,0.59,2019,136
Bruno Viana,8,0,780,2,1.31,0.16,7,2,0.85,0.24,2019,122
Mehrdad Mohammadi,27,1,2495,8,7.35,0.28,56,19,2.13,0.72,2019,123
Carlos Valenzuela,7,1,575,2,1.03,0.17,10,3,1.65,0.5,2019,130
Ruben Lameiras,7,0,624,4,3.42,0.52,15,9,2.28,1.37,2019,130
Moussa Marega,27,2,2471,12,7.28,0.28,58,33,2.23,1.27,2019,135
Gian-Luca Waldschmidt,7,1,605,4,3.57,0.56,15,6,2.36,0.94,2019,121
Samuel Lino,6,1,591,3,2.18,0.35,16,5,2.57,0.8,2019,128
Andre Andre,8,0,645,2,1.7,0.25,7,2,1.03,0.29,2019,124
Mehdi Taremi,26,4,2537,18,16.82,0.63,74,30,2.77,1.12,2019,135
Carlos Vinicius,19,13,1928,18,12.38,0.61,66,27,3.25,1.33,2019,121
Sergio Oliveira,7,1,642,4,2.09,0.31,17,8,2.52,1.18,2019,135
Douglas Tanque,23,6,2054,11,7.57,0.35,72,24,3.33,1.11,2019,134
Fabio Abreu,27,7,2570,13,11.09,0.41,53,23,1.96,0.85,2019,138
Brayan Riascos,8,0,736,3,2.17,0.28,26,11,3.36,1.42,2019,129
Fabio Martins,29,0,2633,12,9.15,0.33,69,36,2.49,1.3,2019,127
Haris  Seferovic,2,5,337,6,3.33,0.94,12,7,3.38,1.97,2019,121
Joao Teixeira,14,7,1416,8,3.58,0.24,34,14,2.28,0.94,2019,122
Bruno Fernandes,17,0,1656,8,5.58,0.32,60,23,3.44,1.32,2019,136
Angel Gomes,6,0,530,3,1.12,0.2,12,3,2.15,0.54,2019,132
Toni MartÃ­nez,27,5,2312,10,10.46,0.43,74,29,3.04,1.19,2019,135
Pizzi ,33,1,2981,18,15.69,0.5,83,39,2.65,1.24,2019,121
Bozhidar Kraev,28,4,2399,8,4.55,0.18,46,19,1.82,0.75,2019,137
Sandro Lima,29,3,2747,10,10.12,0.35,66,31,2.28,1.07,2019,137
Rodrigo Pinho,18,9,1732,9,6.56,0.36,48,22,2.63,1.21,2019,133
Thiago Santana,8,0,714,6,3.31,0.44,24,12,3.19,1.6,2019,138
Everton ,8,0,622,2,1.05,0.16,11,7,1.68,1.07,2019,121
Trincao ,17,10,1749,8,4.6,0.25,47,19,2.55,1.03,2019,136
Andraz Sporar,3,4,356,2,3.41,0.91,14,7,3.74,1.87,2019,136
Ricardo Horta,31,2,2750,12,8.97,0.31,93,37,3.21,1.28,2019,122
Nuno Santos,6,2,567,3,1.55,0.26,10,5,1.68,0.84,2019,136
Bruno Duarte,18,6,1684,8,5.5,0.31,42,16,2.37,0.9,2019,124
Arkadiusz Milik,19,7,1870,11,9.45,0.48,68,29,3.45,1.47,2019,24
Romelu Lukaku,33,3,3156,23,18.94,0.57,99,47,2.98,1.41,2019,33
Francesco Caputo,33,3,3125,21,13.82,0.42,73,35,2.22,1.06,2019,21
Edin Dzeko,31,4,3075,16,19.74,0.61,122,46,3.77,1.42,2019,30
Andrea Petagna,33,3,3263,12,13.74,0.4,110,33,3.2,0.96,2019,24
Cristiano Ronaldo,33,0,3127,31,27.32,0.83,208,79,6.32,2.4,2019,37
Domenico Berardi,29,2,2654,14,10.9,0.39,120,46,4.3,1.65,2019,21
Joao Pedro,35,1,3394,18,13.93,0.39,87,37,2.44,1.04,2019,28
Josip Ilicic,21,5,1786,15,9.78,0.52,81,36,4.31,1.91,2019,25
Andreas Cornelius,17,9,1637,12,6.38,0.37,46,20,2.67,1.16,2019,36
Giovanni Simeone,34,3,3115,12,11.8,0.36,87,30,2.65,0.91,2019,28
Ciro Immobile,36,1,3371,36,26.61,0.75,142,71,4,2,2019,22
Marco Mancosu,28,5,2627,14,15.21,0.55,84,31,3.04,1.12,2019,29
Duvan Zapata,25,3,2143,18,15.11,0.67,89,37,3.95,1.64,2019,25
Lautaro Martrinez,29,6,2581,14,14.4,0.53,125,44,4.6,1.62,2019,33
Luis Muriel,10,23,1370,18,12.4,0.86,77,41,5.34,2.84,2019,25
Fabio Quagliarella,26,2,2413,11,13.72,0.54,102,35,4.02,1.38,2019,31
Gianluca Lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019,27
Ante Rebic,15,11,1514,11,6.85,0.43,42,20,2.64,1.25,2019,32
Andrea Belotti,34,2,3214,16,16.58,0.49,104,41,3.07,1.21,2019,32
Jadon Sancho,25,7,2387,17,9.8,0.39,52,28,2.07,1.11,2019,56
Timo Werner,33,1,2744,28,20.8,0.72,123,63,4.26,2.18,2019,45
Wout Weghorst,30,2,2893,16,18.27,0.6,85,38,2.79,1.25,2019,48
Andrej Kramaric,14,5,1502,12,9.33,0.59,43,23,2.72,1.45,2019,43
Marco Reus,18,1,1561,11,8.54,0.52,47,24,2.86,1.46,2019,56
Kai Havertz,29,1,2586,12,9.53,0.35,59,26,2.17,0.96,2019,45
Marcus Thuram,28,3,2296,10,10.15,0.42,56,36,2.32,1.49,2019,41
Rouwen Hennings,27,5,2592,15,10.91,0.4,73,27,2.68,0.99,2019,57
Robert Lewandowski,31,0,2783,34,31.05,1.06,138,67,4.71,2.29,2019,42
Andre Silva,16,9,1694,12,10.7,0.6,55,21,3.08,1.18,2019,45
Florian Niederlechner,31,2,2846,13,13.18,0.44,78,40,2.6,1.34,2019,44
Erling Haaland,11,4,1116,12,7.64,0.65,34,19,2.89,1.62,2019,56
Jhon Cordoba,23,6,2108,13,8.88,0.4,61,25,2.75,1.13,2019,40
Kevin Volland,24,3,2159,10,11.59,0.51,78,32,3.43,1.41,2019,51
Nils Petersen,24,10,2595,11,8.47,0.31,55,19,2.01,0.7,2019,46
Lars Stindl,14,11,1518,9,7.19,0.45,33,15,2.07,0.94,2019,41
Robin Quaison,31,1,2718,13,12.02,0.42,71,28,2.48,0.98,2019,49
Serge Gnabry,26,5,2216,12,13.3,0.57,95,40,4.07,1.71,2019,42
Sebastian Andersson,31,2,2813,12,13.62,0.46,65,37,2.2,1.25,2019,50
Alassane Plea,25,2,2252,10,11.62,0.49,77,35,3.25,1.48,2019,41
Neymar ,15,0,1396,12,15.87,1.08,71,36,4.83,2.45,2019,152
Dimitri Payet,22,0,2057,9,5.85,0.27,63,26,2.91,1.2,2019,153
Mauro Icardi,14,6,1353,12,12.11,0.85,36,20,2.53,1.4,2019,152
Memphis Depay,12,1,1077,9,4.53,0.4,48,21,4.23,1.85,2019,154
Kasper Dolberg,22,1,1994,11,7.77,0.37,42,25,2,1.19,2019,157
M'Baye Niang,24,2,2276,10,8.15,0.34,66,30,2.75,1.25,2019,156
Adrien Thomasson,24,1,2168,7,5.25,0.23,50,18,2.19,0.79,2019,160
Andy Delort,26,0,2409,9,10.9,0.43,84,29,3.31,1.14,2019,159
Dario Benedetto,25,1,2214,11,8.86,0.38,61,27,2.62,1.16,2019,153
Wissam Ben Yedder,25,1,2321,18,12.95,0.53,64,36,2.62,1.47,2019,155
Ludovic Ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019,160
Islam Slimani,14,4,1378,9,8.7,0.6,53,20,3.65,1.38,2019,163
Adrien Hunou,13,10,1325,8,7.25,0.52,28,15,2.01,1.08,2019,156
Denis Bouanga,23,3,2173,10,9.38,0.41,78,37,3.41,1.62,2019,166
Sehrou Guirassy,23,0,2030,9,8.55,0.4,45,19,2.11,0.89,2019,156
Ãngel Di Maria,23,3,2106,8,9.98,0.45,74,24,3.34,1.08,2019,152
Moussa Dembele,24,3,2358,16,11.42,0.46,56,26,2.26,1.05,2019,154
Habib Diallo,26,0,2344,12,9.13,0.37,83,34,3.36,1.38,2019,160
Kylian Mbappe-Lottin,17,3,1611,18,17.98,1.06,87,49,5.13,2.89,2019,152
Victor Osimhen,25,2,2434,13,14.86,0.58,86,35,3.36,1.37,2019,167
Dominic Calvert-Lewin,30,6,2849,13,16.19,0.54,85,38,2.83,1.27,2019,70
Raul Jimenez,37,1,3445,17,18.49,0.51,118,43,3.25,1.19,2019,77
Kevin De Bruyne,32,3,2984,13,7.22,0.23,99,31,3.15,0.99,2019,63
Jamie Vardy,34,1,3271,23,19.28,0.56,89,42,2.58,1.22,2019,59
Raheem Sterling,30,3,2836,20,20.3,0.68,99,38,3.32,1.27,2019,63
Sadio Mane,31,4,2933,18,14.51,0.47,77,36,2.49,1.17,2019,61
Chris Wood,29,3,2616,14,17.07,0.62,65,29,2.36,1.05,2019,71
Anthony Martial,31,1,2788,17,11.74,0.4,80,39,2.73,1.33,2019,65
Riyad Mahrez,21,12,2130,11,7.62,0.34,74,31,3.3,1.38,2019,63
Son Heung-Min,28,2,2663,11,9.25,0.33,81,38,2.89,1.36,2019,58
Marcus Rashford,31,0,2826,17,19.93,0.67,95,44,3.19,1.48,2019,65
Mohamed Salah,33,1,3045,19,20.51,0.64,132,59,4.12,1.84,2019,61
Gabriel Jesus,21,13,2209,14,20.69,0.89,101,46,4.34,1.98,2019,63
Danny Ings,32,6,3009,22,16.79,0.53,93,37,2.94,1.17,2019,73
Pierre-Emerick Aubameyang,35,1,3392,22,16.07,0.45,93,42,2.6,1.18,2019,69
Harry Kane,29,0,2801,18,12.97,0.44,81,37,2.75,1.25,2019,58
Richarlison  ,36,0,3289,13,10.73,0.31,90,32,2.6,0.92,2019,70
Teemu Pukki,33,3,3087,11,11.37,0.35,80,35,2.46,1.08,2019,72
Tammy Abraham,25,9,2380,15,19.29,0.77,88,35,3.51,1.4,2019,67
Sergio Aguero,18,6,1566,16,15.5,0.94,76,27,4.61,1.64,2019,63
Dudu ,34,2,3313,9,9.42,0.27,95,38,2.72,1.09,2019,91
Thiago Galhardo,31,3,2901,12,14.35,0.47,80,32,2.62,1.05,2019,93
Paolo Guerrero,23,1,2193,10,10.85,0.47,81,33,3.51,1.43,2019,94
Pepe,14,18,1836,8,8.7,0.45,46,16,2.38,0.83,2019,82
Bruno Henrique ,33,1,3149,10,4.97,0.15,58,22,1.75,0.66,2019,81
Giorgian de Arrascaeta,22,1,1929,12,9.34,0.46,47,19,2.31,0.94,2019,85
Marinho ,18,11,1917,8,6.66,0.33,73,26,3.62,1.29,2019,82
Everton ,23,7,2498,11,9.2,0.35,83,32,3.16,1.22,2019,83
Gilberto ,27,5,2524,14,15.94,0.6,80,31,3.01,1.17,2019,93
Michael ,35,0,3180,10,9.37,0.28,80,32,2.39,0.96,2019,85
Carlos Sanchez,27,7,2648,12,11.99,0.43,85,29,3.05,1.04,2019,82
Everaldo ,33,0,3233,14,13.27,0.39,116,39,3.41,1.15,2019,89
Artur ,32,0,3049,7,5.78,0.18,64,19,1.99,0.59,2019,95
Gabriel Barbosa,29,0,2716,25,24.59,0.86,117,62,4.09,2.17,2019,85
Wellington Paulista,28,3,2650,13,13.67,0.49,66,29,2.37,1.04,2019,92
Bruno Henrique,29,4,2822,21,21.09,0.71,98,46,3.3,1.55,2019,85
Marcelo  Cirino,19,10,2062,9,9.33,0.43,51,17,2.35,0.78,2019,84
Yeferson Soteldo,31,1,2883,9,8.8,0.29,68,26,2.24,0.86,2019,82
Eduardo Sasha,34,3,3181,14,14.06,0.42,77,36,2.3,1.08,2019,95
Rafael Moura,19,4,1661,9,8.22,0.47,48,14,2.75,0.8,2019,91
Antony,8,1,575,4,1.63,0.27,20,8,3.3,1.32,2019,141
Quincy Promes,4,6,574,4,2.9,0.48,22,10,3.64,1.66,2019,141
Dusan Tadic,9,1,719,7,4.24,0.56,20,13,2.64,1.72,2019,141
Armando Broja,6,4,569,5,2.52,0.42,12,6,2,1,2019,151
Steven Berghuis,10,0,896,9,8.77,0.93,39,21,4.14,2.23,2019,145
Michael de Leeuw,8,0,723,5,2.89,0.38,15,7,1.97,0.92,2019,148
Lois Openda,10,0,775,5,2.94,0.36,28,9,3.43,1.1,2019,151
Lennart Thy,10,0,768,6,4.37,0.54,20,11,2.47,1.36,2019,150
Donyell Malen,7,3,725,6,6.11,0.8,32,17,4.19,2.23,2019,143
Noni Madueke,3,7,524,4,2.87,0.52,17,7,3.08,1.27,2019,143
Davy Klaassen,6,0,490,5,4.02,0.78,13,8,2.52,1.55,2019,141
Oussama Tannane,8,0,680,4,2.65,0.37,40,9,5.59,1.26,2019,151
Vaclav Cerny,10,0,824,4,1.39,0.16,21,12,2.42,1.38,2019,144
Vangelis Pavlidis,10,0,927,4,2.83,0.29,26,15,2.66,1.54,2019,147
Henk Veerman,10,0,916,8,4.44,0.46,32,14,3.32,1.45,2019,146
Abdou Harroui,10,0,834,4,1.93,0.22,24,13,2.73,1.48,2019,150
Rai Vloet,10,0,853,7,4.49,0.5,21,9,2.34,1,2019,146
Lassina Traore,6,4,506,7,4.21,0.79,18,8,3.38,1.5,2019,141
Georgios Giakoumakis,10,0,911,9,7.19,0.75,35,14,3.65,1.46,2019,142
Alex Pozuelo,24,0,2247,9,8.28,0.35,57,25,2.41,1.06,2020,108
Kevin Molino,16,3,1430,11,6.32,0.42,43,20,2.86,1.33,2020,103
Damir Kreilach,20,1,1872,8,6.11,0.31,48,19,2.44,0.96,2020,113
Bradley Wright-Phillips,15,4,1190,8,5.89,0.47,33,15,2.63,1.2,2020,96
Diego Rossi,19,0,1816,14,11.85,0.62,71,34,3.71,1.78,2020,96
Nicolas Lodeiro,21,0,2014,8,6.36,0.3,43,19,2.03,0.9,2020,110
Raul Ruidiaz,18,0,1626,14,8.56,0.5,58,24,3.39,1.4,2020,110
Daryl Dike,17,2,1482,8,3.74,0.24,33,13,2.12,0.83,2020,101
Gyasi Zardes,22,1,2034,14,11.99,0.56,50,25,2.34,1.17,2020,105
Cristian Pavon,22,0,2106,10,5.99,0.27,63,25,2.84,1.13,2020,116
Chris Mueller,19,5,1726,10,6,0.33,38,20,2.09,1.1,2020,101
Romell Quioto,18,2,1676,9,5.82,0.33,54,23,3.06,1.3,2020,119
Jordan Morris,19,4,1927,11,8.32,0.41,43,19,2.12,0.94,2020,110
Kacper Przybylko,24,0,2216,8,8.63,0.37,56,27,2.4,1.16,2020,102
Gustavo Bou,17,4,1701,8,6.8,0.38,81,28,4.52,1.56,2020,120
Robert Beric,22,1,2063,13,9.99,0.46,62,28,2.86,1.29,2020,104
Ayo Akinola,11,5,1195,9,7.3,0.58,37,19,2.94,1.51,2020,108
Jeremy Ebobisse,11,8,1189,8,3.63,0.29,33,15,2.64,1.2,2020,114
Diego Valeri,19,4,1864,8,5.3,0.27,44,17,2.24,0.87,2020,114
Chris Wondolowski,14,9,1509,8,7.31,0.46,35,20,2.2,1.26,2020,98
Youssef   En-Nesyri,5,4,465,4,3.33,0.68,14,4,2.86,0.82,2020,19
Portu ,6,5,691,4,1.53,0.21,6,4,0.82,0.55,2020,15
Karim Benzema,8,0,741,4,4.91,0.63,27,12,3.46,1.54,2020,4
Carlos Soler,6,1,599,4,3.34,0.53,8,5,1.27,0.79,2020,8
Cristian Tello,7,4,629,4,1.92,0.29,22,8,3.32,1.21,2020,1
Mikel Oyarzabal,9,2,736,7,6.82,0.88,31,16,4,2.07,2020,19
Esteban Burgos,6,1,589,3,2.85,0.46,5,4,0.81,0.65,2020,6
Lucas Perez,7,2,637,3,4.36,0.65,13,6,1.94,0.89,2020,17
Lionel Messi,8,1,824,4,5.46,0.63,39,19,4.5,2.19,2020,2
Joao Felix,6,3,641,5,3.85,0.57,21,6,3.11,0.89,2020,3
Luis Suarez,5,1,387,5,3.3,0.81,22,8,5.4,1.96,2020,3
Paco Alcacer,9,0,693,5,5.11,0.7,16,8,2.19,1.1,2020,18
Morales ,10,0,758,4,2.71,0.34,17,8,2.13,1,2020,14
Federico Valverde,6,2,566,3,1.13,0.19,9,5,1.51,0.84,2020,4
Antoine Griezmann,8,1,634,3,3.67,0.55,18,8,2.7,1.2,2020,2
Iago Aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020,5
Kike GarcIa,9,1,790,3,2.83,0.34,19,8,2.28,0.96,2020,6
Angel Rodriguez,3,6,501,4,2.06,0.39,14,7,2.65,1.33,2020,13
Ansu Fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020,2
Gerard Moreno,9,0,822,6,6.4,0.74,29,11,3.35,1.27,2020,18
Roberto Soriano,9,0,849,5,2.41,0.27,18,7,2.01,0.78,2020,34
Francesco Caputo,6,0,567,5,3.52,0.59,18,9,3.02,1.51,2020,21
Joao Pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020,28
Alejandro Gomez,9,0,643,4,2.23,0.33,28,11,4.14,1.63,2020,25
Andrea Belotti,8,0,754,7,3.49,0.44,24,11,3.02,1.39,2020,32
Gaetano Castrovilli,9,0,755,4,1.43,0.18,11,7,1.38,0.88,2020,26
Giovanni Simeone,8,0,664,5,3.29,0.47,15,5,2.15,0.72,2020,28
Domenico Berardi,8,0,766,4,2.02,0.25,21,11,2.6,1.36,2020,21
Henrikh Mkhitaryan,9,0,825,5,5.82,0.67,30,14,3.45,1.61,2020,30
Jordan Veretout,9,0,769,4,3.48,0.43,18,7,2.22,0.86,2020,30
Gervinho ,8,0,669,4,1.97,0.28,13,5,1.85,0.71,2020,38
Lautaro MartInez,7,2,656,5,2.35,0.34,29,11,4.2,1.59,2020,33
Luis Muriel,3,4,264,4,2.78,1,20,7,7.2,2.52,2020,25
Cristiano Ronaldo,5,1,397,8,5.31,1.27,26,13,6.22,3.11,2020,37
Romelu Lukaku,6,2,580,7,7.27,1.19,22,10,3.6,1.64,2020,33
Dries Mertens,9,0,616,4,2.46,0.38,24,11,3.7,1.7,2020,24
Ciro Immobile,6,1,571,5,3.73,0.62,22,8,3.66,1.33,2020,22
Fabio Quagliarella,8,1,694,5,4.46,0.61,23,9,3.15,1.23,2020,31
Zlatan Ibrahimovic,6,0,557,10,7.92,1.35,35,16,5.97,2.73,2020,32
Hirving Lozano,9,0,568,4,2.93,0.49,18,11,3.01,1.84,2020,24
Lucas Alario,6,1,561,7,3.07,0.52,20,11,3.39,1.86,2020,53
Bas Dost,8,1,732,3,3.24,0.42,14,8,1.82,1.04,2020,52
Serge Gnabry,7,1,626,4,1.58,0.24,18,9,2.73,1.37,2020,42
Wout Weghorst,8,1,778,6,5.57,0.68,25,14,3.05,1.71,2020,48
Dani Olmo,9,0,834,4,2.28,0.26,19,8,2.16,0.91,2020,45
Ellyes Skhiri,8,0,709,3,1.87,0.25,6,3,0.8,0.4,2020,50
Thomas Muller,9,0,822,4,3.2,0.37,13,5,1.5,0.58,2020,42
Max Kruse,7,2,669,6,4.44,0.63,13,10,1.85,1.42,2020,51
Andre Silva,9,0,802,7,7.43,0.88,37,16,4.38,1.9,2020,45
Andre Hahn,7,2,547,3,1.44,0.25,12,6,2.08,1.04,2020,44
Jean-Philippe Mateta,9,0,723,7,6.01,0.79,23,12,3.02,1.58,2020,49
Andrej Kramaric,5,0,481,7,4.61,0.91,23,14,4.54,2.77,2020,43
Niclas Fullkrug,4,1,293,4,3.02,0.98,13,7,4.22,2.27,2020,52
Lars Stindl,7,2,567,4,3.52,0.59,19,9,3.18,1.51,2020,41
Daniel Caligiuri,9,0,841,3,0.8,0.09,11,5,1.24,0.56,2020,44
Erling Haaland,7,1,683,10,6.76,0.94,30,14,4.17,1.95,2020,56
Jhon Cordoba,5,2,493,3,2.23,0.43,18,5,3.47,0.96,2020,40
Nils Petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020,46
Matheus Cunha,9,0,857,6,3.43,0.38,26,15,2.88,1.66,2020,40
Robert Lewandowski,7,1,672,12,7.78,1.1,35,17,4.95,2.4,2020,42
Ludovic Blas,11,1,990,4,1.88,0.18,19,7,1.82,0.67,2020,158
Stephane Bahoken,8,2,644,5,3.53,0.52,30,14,4.43,2.07,2020,165
Karl Toko,9,1,822,5,5.88,0.68,27,12,3.12,1.39,2020,154
Kevin Volland,9,1,709,5,3.43,0.46,12,11,1.61,1.47,2020,155
Andy Delort,11,0,902,6,4.18,0.44,31,14,3.26,1.47,2020,159
Burak Yilmaz,10,1,903,6,4.56,0.48,28,17,2.95,1.79,2020,167
Ibrahima Niane,6,0,482,6,3.45,0.68,21,9,4.14,1.77,2020,161
Boulaye Dia,9,1,772,8,5.28,0.65,25,12,3.08,1.48,2020,156
Moise Kean,6,0,454,4,3.2,0.67,14,5,2.93,1.05,2020,152
Ignatius Ganago,6,3,452,4,3.33,0.7,14,7,2.94,1.47,2020,168
Wissam Ben Yedder,10,1,879,6,5.74,0.62,30,8,3.24,0.86,2020,155
Florian Thauvin,10,0,835,4,2.99,0.34,21,8,2.39,0.91,2020,153
Amine Gouiri,9,2,903,4,3.33,0.35,26,10,2.74,1.05,2020,157
Jonathan Bamba,11,1,1061,4,1.68,0.15,25,9,2.24,0.81,2020,167
Ludovic Ajorque,11,0,1008,4,3.61,0.34,17,8,1.6,0.75,2020,156
Kylian Mbappe-Lottin,7,1,610,9,6.81,1.06,33,20,5.14,3.11,2020,152
Mama Balde,8,0,669,4,4.01,0.57,30,10,4.26,1.42,2020,163
Memphis Depay,9,3,903,5,4.75,0.5,30,10,3.16,1.05,2020,154
Gael Kakuta,10,1,786,5,4.14,0.5,18,6,2.18,0.73,2020,168
James Ward-Prowse,10,0,960,4,0.71,0.07,10,7,0.99,0.69,2020,73
Bruno Fernandes,9,0,809,7,5.45,0.64,30,14,3.52,1.64,2020,65
Dominic Calvert-Lewin,10,0,940,10,7.12,0.72,32,18,3.23,1.82,2020,70
Timo Werner,10,0,876,4,3.69,0.4,23,10,2.49,1.08,2020,67
Callum Wilson,9,0,835,7,6.5,0.74,18,8,2.05,0.91,2020,78
Diogo Jota,5,3,530,5,2.51,0.45,20,11,3.58,1.97,2020,61
Wilfried Zaha,8,0,779,5,4.35,0.53,18,7,2.2,0.85,2020,60
Jack Grealish,9,0,872,5,2.85,0.31,26,9,2.83,0.98,2020,76
Raul Jimenez,10,0,872,4,3.3,0.36,26,10,2.83,1.09,2020,77
Jarrod Bowen,10,0,845,4,2.94,0.33,22,5,2.47,0.56,2020,64
Patrick Bamford,10,0,898,7,7.28,0.77,40,17,4.23,1.8,2020,74
Mohamed Salah,9,0,831,8,6.12,0.7,35,15,4,1.71,2020,61
Jamie Vardy,8,1,780,8,8.7,1.06,21,15,2.56,1.83,2020,59
Harry Kane,10,0,956,7,6.64,0.66,39,15,3.88,1.49,2020,58
Danny Ings ,7,0,662,5,2.58,0.37,15,9,2.15,1.29,2020,73
Neal Maupay,9,0,786,4,6.54,0.79,25,11,3.02,1.33,2020,75
Ollie Watkins,9,0,872,6,6.43,0.7,22,9,2.4,0.98,2020,76
Sadio Mane,8,1,785,4,4.88,0.59,27,13,3.27,1.57,2020,61
Riyad Mahrez,7,0,612,4,1.93,0.3,21,10,3.26,1.55,2020,53
Son Heung-Min,10,0,861,9,3.9,0.43,20,12,2.21,1.32,2020,58
Luciano ,16,3,1588,11,6.02,0.36,37,17,2.21,1.02,2020,81
Vinicius ,16,1,1348,7,5.25,0.37,51,24,3.59,1.69,2020,80
Marinho ,17,2,1662,13,7.52,0.43,58,26,3.32,1.49,2020,82
Raphael Veiga,10,4,914,6,3.37,0.35,27,11,2.81,1.14,2020,88
Luiz Adriano,14,3,1235,7,6.24,0.48,21,13,1.62,1,2020,88
Cleber ,17,3,1336,5,6.75,0.48,41,13,2.92,0.92,2020,80
German Cano,19,0,1733,10,10.03,0.55,37,22,2.03,1.21,2020,94
Pepe,15,3,1397,7,5.44,0.37,32,13,2.18,0.88,2020,79
Brenner None,9,6,1063,6,7.5,0.67,36,14,3.22,1.25,2020,81
Matheus Babi,17,3,1709,6,5.94,0.33,32,14,1.78,0.78,2020,84
Nene ,18,0,1434,7,4.38,0.29,35,13,2.32,0.86,2020,87
Bruno Henrique,15,1,1412,5,8.92,0.6,45,18,3.03,1.21,2020,85
Thiago Galhardo,16,5,1605,15,12.5,0.74,53,27,3.14,1.6,2020,90
Keno ,19,3,1829,10,11.36,0.59,72,31,3.74,1.61,2020,95
Alerrandro ,10,2,861,5,6.07,0.67,24,11,2.65,1.21,2020,93
Wellington Paulista,13,8,1208,6,5.34,0.42,24,12,1.89,0.94,2020,92
Claudinho ,19,1,1657,10,4.19,0.24,53,19,3.04,1.09,2020,93
Robson,22,0,1937,6,8.56,0.42,53,17,2.6,0.83,2020,86
