Player_Names,Matches_Played,Substitution ,Minutes_Played,Goals,Expected_Goals,xG_Per_Match_Avg,Shots,Shots_On_Target,Shots_Per_Match_Avg,Shots_On_Target_Per_Match_Avg,Year,club_id
Mauro Icardi,34,0,3188,24,19.13,0.57,109,52,3.25,1.55,2016,33
Diego Falcinelli,35,1,3308,13,11.49,0.33,99,65,2.84,1.87,2016,29
Cyril Thereau,31,2,2585,12,9.25,0.34,70,48,2.57,1.76,2016,34
Edin Dzeko,33,4,3194,29,30.6,0.91,178,99,5.29,2.94,2016,30
Lorenzo Insigne,35,2,3031,18,13.08,0.41,147,81,4.61,2.54,2016,24
Fabio Quagliarella,35,2,3030,12,13.71,0.43,112,70,3.51,2.19,2016,31
Marco Borriello ,30,6,2737,16,7.78,0.27,81,51,2.81,1.77,2016,35
Carlos Bacca,26,6,2228,13,14.07,0.6,56,39,2.39,1.66,2016,25
Gonzalo Higuain,32,6,3138,24,17.84,0.54,134,91,4.06,2.75,2016, 37
Keita Balde,21,10,2033,16,7.7,0.36,70,48,3.27,2.24,2016,31
Andrea Belotti,34,1,3241,26,19.45,0.57,130,78,3.81,2.29,2016,34
Fin Bartels,23,8,2315,8,6.34,0.26,42,29,1.72,1.19,2016,52
Lars Stindl,29,1,2673,11,8.44,0.3,68,50,2.42,1.78,2016,41
Serge Gnabry,23,4,2028,11,5.76,0.27,62,33,2.9,1.55,2016,42
Sandro Wagner ,30,1,2695,11,12.2,0.43,65,35,2.29,1.23,2016,45
Andrej Kramaric,28,6,2449,15,13.41,0.52,99,60,3.84,2.33,2016,43
Florian Niederlechner,29,5,2477,11,10.69,0.41,79,56,3.03,2.15,2016,57
Robert Lewandowski,31,2,2871,30,30.52,1.01,143,86,4.73,2.85,2016,42
Emil Forsberg,27,3,2420,8,5.86,0.23,49,32,1.92,1.26,2016,45
Timo Werner,28,3,2496,21,12.61,0.48,74,50,2.82,1.9,2016,45
Nils Petersen,7,26,1351,10,9.24,0.65,52,33,3.66,2.32,2016,46
Vedad Ibisevic,32,0,2772,12,12.84,0.44,72,46,2.47,1.58,2016,47
Mario Gomez,32,1,2950,16,18.32,0.59,84,45,2.71,1.45,2016,52
Maximilian Philipp,23,2,2000,9,6.11,0.29,53,34,2.52,1.62,2016,48
Adam Szalai,7,15,833,8,3.95,0.45,18,15,2.05,1.71,2016,49
Pierre-Emerick Aubameyang,31,1,2894,31,28.94,0.95,116,78,3.81,2.56,2016,56
Guido Burgstaller,17,1,1494,9,8.18,0.52,45,24,2.86,1.53,2016,50
Max Kruse,23,0,2121,15,8.48,0.38,41,28,1.84,1.25,2016,51
Chicharito ,20,6,1895,11,11.57,0.58,52,30,2.61,1.5,2016,44
Anthony Modeste,34,0,3075,25,19.74,0.61,101,53,3.12,1.64,2016,50
Arjen Robben,21,5,1882,13,4.95,0.25,83,52,4.19,2.62,2016,42
Alexis Sanchez,36,2,3385,24,19.24,0.54,129,49,3.62,1.38,2016,69
Romelu Lukaku,36,1,3448,25,18.15,0.5,110,53,3.03,1.46,2016,67
Harry Kane,29,1,2636,29,18.87,0.68,110,58,3.96,2.09,2016,58
Jamie Vardy,33,2,2938,13,9.28,0.3,54,26,1.75,0.84,2016,59
Christian Benteke,36,0,3299,15,18.4,0.53,105,38,3.02,1.09,2016,60
Pedro None,26,9,2250,10,5.68,0.24,59,17,2.49,0.72,2016,77
Eden Hazard,36,0,3101,16,11.1,0.34,77,32,2.36,0.98,2016,67
Roberto Firmino,34,1,3228,11,10.87,0.32,104,43,3.06,1.27,2016,61
Sadio Mane,26,1,2347,13,9.14,0.37,58,24,2.35,0.97,2016,61
Philippe Coutinho,28,3,2327,13,9.31,0.38,107,36,4.37,1.47,2016,61
Diego Costa,35,0,3232,20,16.67,0.49,111,41,3.26,1.21,2016,77
Dele Alli,35,2,3182,18,15.07,0.45,95,43,2.84,1.28,2016,58
Sergio Aguero,25,6,2444,21,22.38,0.87,139,51,5.4,1.98,2016,63
Jermain Defoe,37,0,3511,15,15.52,0.42,99,31,2.68,0.84,2016,63
Fernando Llorente,28,5,2562,15,8.36,0.31,52,25,1.93,0.93,2016,72
Michail Antonio,29,0,2493,11,9.71,0.37,79,25,3.01,0.95,2016,64
Zlatan Ibrahimovic,27,1,2578,17,15.74,0.58,115,45,4.24,1.66,2016,65
Olivier Giroud,11,18,1311,12,6.9,0.5,39,20,2.83,1.45,2016,69
Son Heung-Min,23,11,2174,14,7.32,0.32,80,33,3.5,1.44,2016,58
Joshua King,31,5,2856,16,10.82,0.36,67,29,2.23,0.96,2016,62
Diego Souza,34,0,2981,14,10.67,0.34,86,35,2.74,1.12,2016,71
Pablo ,30,3,2757,9,7.55,0.26,63,24,2.17,0.83,2016,82
Robinho ,26,4,2234,12,8,0.34,49,22,2.08,0.94,2016,84
Kempes ,19,7,1684,9,5.85,0.33,44,21,2.48,1.18,2016,86
